row_id,ICS209,sentence_summary,citation_link,platform,date,time,UNIQUE FACTS 
1,36,"Hurricane Florence was located 720 miles southeast of Bermuda moving west at 7mph, maximum sustained winds of 85mph, and a central pressure of 975mb.",https://www.facebook.com/SimmonsWeather/posts/pfbid0DruRohw9FkLri9eWUkEUrKg1nfHiuqWfo4hZjDT26jaBJNS4bfueH5TAeSmkj8wal,Facebook,9/9/2018,6:35:00 AM,Hurricane Florence was located 720 miles southeast of Bermuda moving west at 7mph
9,36,"The forecast track still takes it close to Wilmington, NC as a major hurricane by Thursday.  Notice Hampton Roads is just outside of the cone, but there is still a threat.",https://twitter.com/WAVY_Weather/status/1038895103744647169,Twitter,9/9/2018,5:01:00 PM,"Hampton Roads (NC) is just outside of the cone, but there is still a threat."
33,36,Probability of hurricane force winds are significant for 4 days out... Greater than 30% chances already showing up for coastal areas,https://twitter.com/alhurricane/status/1038899120134610945,Twitter,9/9/2018,5:17:00 PM,Probability of hurricane force winds are significant for 4 days out
2,36,National Hurricane Center is forecasting #Florence in 72 hours to have maximum winds of 150 mph at 30.3°N.  Only one Atlantic #hurricane on record has had max winds of 150 mph further north than the 72-hour prediction for Florence: Helene (1958).,https://twitter.com/philklotzbach/status/1038903105419587584,Twitter,9/9/2018,5:23:00 PM,National Hurricane Center is forecasting #Florence in 72 hours to have maximum winds of 150 mph at 30.3°N
40,38,National Weather Service Wakefield VA slides from our latest briefing on Hurricane Florence,https://twitter.com/NWSWakefieldVA/status/1038901294327648256,Twitter,9/9/2018,5:25:00 PM,
43,34,UNCW issues voluntary evacuation for students starting at 12 p.m. Monday ahead of Hurricane Florence,https://twitter.com/myfox8/status/1038901296143785985,Twitter,9/9/2018,5:25:00 PM,UNCW issues voluntary evacuation for students starting at 12 p.m. Monday ahead of Hurricane Florence
11,36,"5PM Sunday update -  winds now at 85mph, heavy rain, inland flooding, strong winds",https://twitter.com/GreenvilleCoEM/status/1038903340355215360,Twitter,9/9/2018,5:33:00 PM,"5PM Sunday update -  winds now at 85mph, heavy rain, inland flooding, strong winds"
12,36,The center of Florence is expected to make landfall on the southern NC coast as a major hurricane late Thursday. Make preparations now for strong winds and prolonged heavy rainfall,https://twitter.com/NWSRaleigh/status/1038903628642349057,Twitter,9/9/2018,5:35:00 PM,center of Florence is expected to make landfall on the southern NC coast as a major hurricane late Thursday
42,36,A direct hit in North Carolina as a Major Hurricane is increasingly becoming likely. The highest impact area is shown in red. Exact details/impacts are iffy. Any landfall looks to happen Late Thursday/Early Friday,https://twitter.com/jb_weather/status/1038904310506184704,Twitter,9/9/2018,5:37:00 PM,
4,36,Hurricane #Florence is expected to rapidly intensity into a major hurricane (Category 3 or stronger) by Monday. It will approach the southeastern U.S. coast on Thursday,https://twitter.com/weatherchannel/status/1038904528509304832,Twitter,9/9/2018,5:38:00 PM,Hurricane #Florence is expected to rapidly intensity into a major hurricane (Category 3 or stronger) by Monday
