row_id,ICS209,sentence_summary,citation_link,platform,date,time,
1,36,National Hurricane Center has upped their intensity forecast with a CATEGORY 3 Hurricane Dorian making landfall in central east coast of FL on Monday! Rapid intensification expected after passing near St Thomas later today with a bend to the west expected this weekend,https://www.facebook.com/reedtimmer2.0/photos/a.169775739168/10157588406314169/,Facebook,8/28/2019,11:25 AM,https://twitter.com/search?q=(%22hurricane%22%20AND%20%22dorian%22)%20until%3A2019-09-01%20since%3A2019-08-31&src=typed_query&f=top
2,36,Florida residents wait in a long line to stock up on sandbags as Hurricane Dorian could make landfall in the Sunshine State as a Category 4.,https://fb.watch/i-9F1f6FvS/,Facebook,8/29/2019,2:55 PM,
3,28,‪HURRICANE DORIAN strengthening rapidly with minimum pressure down to 977 mb measured by Hurricane hunter aircraft with max sustained winds up to 105 mph! The updated NHC forecast now has a powerful category 4 with 140 mph sustained winds approaching central FL early next week,https://www.facebook.com/reedtimmer2.0/posts/pfbid0jFTS4BUd5uJXFK3cUwZZwV77vYFBGyHxipvM37o6g6gmRvPhMxNnzNFCTdo3SngWl,Facebook,8/29/2019,11:23 PM,
4,36,This is what Hurricane Dorian looks like from space,https://twitter.com/CNN/status/1167224795668385792?s=20,Twitter,8/29/2019,7:57 PM,
5,38,"A new reconnaissance aircraft is now entering Hurricane #Dorian to assess its intensity this evening.",https://twitter.com/TropicalTidbits/status/1167219071080960000?s=20,Twitter,8/29/2019,7:34 PM,
6,36,"HWRF model, 72 hours from now. A formidable Category 4, half the size of Florida.",https://twitter.com/EricHolthaus/status/1167220936095010822?s=20,Twitter,8/29/2019,7:42 PM,
7,38,all female crew aboard the Hurricane Hunter. These women are flying tonight's recon mission into Hurricane Dorian to gather critical data that gets input into computer models,https://twitter.com/Fox4Weather/status/1167216639244460033?s=20,Twitter,8/29/2019,7:25 PM,
8,34,"HURRICANE DORIAN: School, college and university closure updates",https://twitter.com/CarlosGSmith/status/1167217486904877057?s=20,Twitter,8/29/2019,7:28 PM,
9,36,Hurricane Dorian expected to hit Florida as a Category 4,https://twitter.com/TIME/status/1167214106480381959?s=20,Twitter,8/29/2019,7:15 PM,
10,36,"HURRICANE DORIAN: Landfall looks to be somewhere between Melbourne and Miami.  NHC track, Euro & US Models all differ, but they all spell bad news for the whole Florida Peninsula",https://twitter.com/EricBraate/status/1167220921465262080?s=20,Twitter,8/29/2019,7:42 PM,
11,36,Blue line represents the latest Calibrated ECMWF EPS track cone for Hurricane #Dorian.,https://twitter.com/MJVentrice/status/1167211428681519106?s=20,Twitter,8/29/2019,7:04 PM,
12,35,"We're not sure where #Dorian will make landfall, but we do know that this hurricane is going to be dangerous",https://twitter.com/weatherchannel/status/1167211074581598209?s=20,Twitter,8/29/2019,7:03 PM,
13,34,"As Hurricane Dorian disrupts travel plans, American Airlines waives fees to reschedule Florida flights",https://twitter.com/WPLGLocal10/status/1167219603757510658?s=20,Twitter,8/29/2019,7:36 PM,
14,36,Florida residents wait in a long line to stock up on sandbags as Hurricane Dorian could make landfall in the Sunshine State as a Category 4.,https://twitter.com/ABC/status/1167205803092299776?s=20,Twitter,8/29/2019,6:42 PM,
15,36,HurricaneAware app is intended to provide information about the potential impacts of storms in the US,https://twitter.com/Esri/status/1167210860671987712?s=20,Twitter,8/29/2019,7:02 PM,
16,36,Hurricane Dorian is now predicted to be Cat. 4 hurricane,https://twitter.com/bettina_bosch/status/1167221594785222656?s=20,Twitter,8/29/2019,7:44 PM,
17,36,category 5 hurricane in 24 hours?,https://twitter.com/webberweather/status/1167219603258392576?s=20,Twitter,8/29/2019,7:36 PM,
18,34,Florida Public Safety Departments with drones; connect with DJI (me) if you need unlocks ahead of Hurricane Dorian. We fully unlock public safety aircrafts,https://twitter.com/romeoch/status/1167214538732666880?s=20,Twitter,8/29/2019,7:16 PM,
19,34,Palm Beach State College will be closed at 12 p.m. tomorrow in preparation for Hurricane Dorian. We encourage everyone to take a look at our Hurricane Preparedness Guide,https://twitter.com/PBStateCollege/status/1167215746989973504?s=20,Twitter,8/29/2019,7:21 PM,
20,34,Miami mayor joined City Manager as well as Commissioners and Willy Gort at our Emergency Operations Center to discuss how we are preparing for Hurricane #Dorian.,https://twitter.com/MiamiMayor/status/1167214437557768193?s=20,Twitter,8/29/2019,7:16 PM,
21,36,"CATEGORY 4 AT LANDFALL? The latest track shows Hurricane Dorian gaining strength as it moves toward the East Coast, possibly making landfall in Florida as a life-threatening Category 4 storm",https://twitter.com/ABCWorldNews/status/1167216463788294147?s=20,Twitter,8/29/2019,7:24 PM,
22,34,"RedCross is mobilizing hundreds of trained volunteers, and more than 30 tractor-trailer loads full of relief supplies to help people in the path of Hurricane Dorian. Locally, the AZ, NM & El Paso Region has sent 14 volunteers to FL",https://twitter.com/RedCrossAZ/status/1167221165279997952?s=20,Twitter,8/29/2019,7:43 PM,
23,36,The National Hurricane Center said Dorian figures to become a Category 3 hurricane – with sustained winds of at least 111 mph – by Friday,https://twitter.com/USATODAY/status/1167207298491715584?s=20,Twitter,8/29/2019,6:48 PM,
24,36,Currently a Cat. 1 system but forecast to grow much stronger!,https://twitter.com/7Weather/status/1167207955571388418?s=20,Twitter,8/29/2019,6:50 PM,
25,28,"Hurricane Dorian, which is forecast to become a highly dangerous Category 4 storm during the weekend, has hit US Virgin Islands",https://fb.watch/i-a0qbJIIL/,Facebook,8/30/2019,12:29 AM,
26,34,"To assist families as they prepare for Hurricane Dorian, DCF has been approved by the USDA to release September food assistance benefits to all 67 counties.",https://twitter.com/MyFLFamilies/status/1167583071471845376?s=20,Twitter,8/30/2019,7:41 PM,
27,28,"8 PM UPDATE: Hurricane Dorian now has max winds of 125 MPH, so still category 3.  NHC says additional strengthening expected. ",https://twitter.com/OfficialJoelF/status/1167586149264691206?s=20,Twitter,8/30/2019,7:53 PM,
28,36,Hurricane Dorian on the move ... slowly,https://twitter.com/OfficialJoelF/status/1167576973129990149?s=20,Twitter,8/30/2019,7:16 PM,
29,28,"Hurricane #Dorian is now a strong category 3 hurricane with winds of 125 mph. The Hurricane Hunters are flying through Dorian, and have also found a much lower pressure (950 mb) compared to this afternoon (970 mb). Lower pressure will cause winds to increase",https://twitter.com/weatherchannel/status/1167587045151301632?s=20,Twitter,8/30/2019,7:56 PM,
30,28,"Hurricane Dorian strengthening faster than forecast, now at the verge of becoming a Category 4 storm",https://twitter.com/BNONews/status/1167586794206060545?s=20,Twitter,8/30/2019,7:55 PM,
31,28,Hurricane hunters measured 946 millibars in the eye of Dorian moments ago. The latest advisory showed 970 mb. This is a huge drop and shows a rapid intensification,https://twitter.com/WeatherNation/status/1167580817108848640?s=20,Twitter,8/30/2019,7:32 PM,
32,28,8 PM Advisory issued.  Hurricane Dorian strengthened again.   Winds up to 125 mph,https://twitter.com/7Weather/status/1167584815866097667?s=20,Twitter,8/30/2019,7:48 PM,
33,38,Hurricane #Dorian Advisory 26A: Noaa Hurricane Hunter Aircraft Finds Dorian Stronger,https://twitter.com/NHC_Atlantic/status/1167585108192370688?s=20,Twitter,8/30/2019,7:49 PM,
34,34,"Hurricane Dorian, Alachua County Public Schools will be closed on Tues, Sep 3",https://twitter.com/AlachuaSchools/status/1167575293240008705?s=20,Twitter,8/30/2019,7:10 PM,
35,36,"I'm amazed by the spike in temperature (lower left plot, circled in blue) as the NOAA Hurricane Hunter aircraft penetrated #Dorian's eye. Warmer air indicates strong subsidence (sinking air) in the eye, a characteristic of intense hurricanes",https://twitter.com/DrKimWood/status/1167581184131514373?s=20,Twitter,8/30/2019,7:33 PM,
