row_id	ICS209	sentence_summary	citation_link	platform	date	time	45	295		
1	36	Hurricane Florence was located 720 miles southeast of Bermuda moving west at 7mph, maximum sustained winds of 85mph, and a central pressure of 975mb.	https://www.facebook.com/SimmonsWeather/posts/pfbid0DruRohw9FkLri9eWUkEUrKg1nfHiuqWfo4hZjDT26jaBJNS4bfueH5TAeSmkj8wal	Facebook	9/9/2018	6:35 AM	1	0		https://twitter.com/search?q=(%22hurricane%22%20AND%20%22florence%22)%20until%3A2018-09-14%20since%3A2018-09-13&src=typed_query
2	36	National Hurricane Center is forecasting #Florence in 72 hours to have maximum winds of 150 mph at 30.3°N.  Only one Atlantic #hurricane on record has had max winds of 150 mph further north than the 72-hour prediction for Florence: Helene (1958).	https://twitter.com/philklotzbach/status/1038903105419587584	Twitter	9/9/2018	5:23 PM	0	1		
3	35	Graphic of multple tropical storms and hurricanes in the Tropics	https://twitter.com/ThisIsMarietta/status/1038911682435850240	Twitter	9/9/2018	6:07 PM	0	1		
4	36	Hurricane #Florence is expected to rapidly intensity into a major hurricane (Category 3 or stronger) by Monday. It will approach the southeastern U.S. coast on Thursday	https://twitter.com/weatherchannel/status/1038904528509304832	Twitter	9/9/2018	5:38 PM	0	1		
5	36	7Weather Expect hurricane watches - issued SOON for parts of the east coast, as Hurricane Florence approaches.	https://twitter.com/7Weather/status/1038938271949172737	Twitter	9/9/2018	7:52 PM	0	1		
6	36	#Florence could stall a bit or even loop near the coast which could chew on the coast, and/or sit inland and Flood areas in NC and VA. (7-15" forecast with CURRENT track)	https://twitter.com/JimCantore/status/1038910375989858304	Twitter	9/9/2018	6:01 PM	0	1		
7	34	South Carolina Emergency Management Division truck goes to SC	https://twitter.com/SCEMD/status/1038917651622514690	Twitter	9/9/2018	6:30 PM	0	1		
8	36	Graphic picturing Hurricane Florence and other water based storms	https://twitter.com/wunderground/status/1038938485573312512	Twitter	9/9/2018	7:53 PM	0	1		
9	36	The forecast track still takes it close to Wilmington, NC as a major hurricane by Thursday.  Notice Hampton Roads is just outside of the cone, but there is still a threat.	https://twitter.com/WAVY_Weather/status/1038895103744647169	Twitter	9/9/2018	5:01 PM	0	1		
10	36	Hurricane Florence Strengthening and Targeting the Southeast Coast, Forecasters Say - links to NYT article	https://twitter.com/nytimes/status/1038907141258715137	Twitter	9/9/2018	5:48 PM	0	1		
11	36	5PM Sunday update -  winds now at 85mph, heavy rain, inland flooding, strong winds	https://twitter.com/GreenvilleCoEM/status/1038903340355215360	Twitter	9/9/2018	5:33 PM	0	1		
12	36	The center of Florence is expected to make landfall on the southern NC coast as a major hurricane late Thursday. Make preparations now for strong winds and prolonged heavy rainfall	https://twitter.com/NWSRaleigh/status/1038903628642349057	Twitter	9/9/2018	5:35 PM	0	1		
13	36	Tweet meme with graphic showing hurricane path	https://twitter.com/hallofstairs/status/1038915563114901504	Twitter	9/9/2018	6:22 PM	0	1		
14	34	City of Wilmington, NC tweet saying they have begun preparations just in case & encourage everyone to do the same	https://twitter.com/SCEMD/status/1038917651622514690 	Twitter	9/9/2018	7:04 PM	0	1		
15	34	Corps Recruit Depot/Eastern Recruiting Region, Parris Island, S.C Video link	https://twitter.com/MCRDPI/status/1038927415031017473	Twitter	9/9/2018	7:09 PM	0	1		
16	36	Hurricane Florence has strengthened in the Atlantic, now a Category 1 as it closes in on the East Coast and threatens to become a major hurricane later this week	https://twitter.com/ABCWorldNews/status/1038928119468412930	Twitter	9/9/2018	7:12 PM	0	1		
17	28	a State of Emergency is declared in the Carolinas	https://twitter.com/MananaSunsets/status/1038912187434184704	Twitter	9/9/2018	6:09 PM	0	1		
18	36	Chicago Tribune Hurricane Florence takes aim at the U.S. Southeast, with winds up to 85 mph	https://twitter.com/chicagotribune/status/1038919289766592512	Twitter	9/9/2018	6:37 PM	0	1		
19	36	NOAA OPC 96 HR SURFACE FORECAST MAJOR HURRICANE FLORENCE OFF THE NORTH CAROLINA COAST WINDS 120 KNOTS GUST 145	https://twitter.com/DaDaBuh/status/1038928041005797377	Twitter	9/9/2018	7:12 PM	0	1		
20	36	NewYork1 Weather forcast tweet	https://twitter.com/NY1weather/status/1038908804354723840	Twitter	9/9/2018	5:55 PM	0	1		
21	36	WeatherOptics forecasters have put together in-depth analysis on everything you need to know about this dangerous #hurricane and who might be in its path	https://twitter.com/weatheroptics/status/1038922269605683200	Twitter	9/9/2018	6:49 PM	0	1		
22	36	Over the last 12 hours, deep convection has become persistent near the center with expanding cirrus outflow. This is prepping the storm environment to support RI in the near future	https://twitter.com/splillo/status/1038930068196732935	Twitter	9/9/2018	7:20 PM	0	1		
23	36	National Weather Service New York NY 5 PM Advisory graphic	https://twitter.com/NWSNewYorkNY/status/1038905017540005893	Twitter	9/9/2018	5:40 PM	0	1		
24	36	Significant inland flooding is possible for North Carolina, Virginia, Maryland, and Delaware	https://twitter.com/giles_tropics/status/1038913004568567808	Twitter	9/9/2018	6:12 PM	0	1		
25	36	Tweet with Weather Channel screenshot of hurricane path	https://twitter.com/JohnRMoffitt/status/1038931681804210176	Twitter	9/9/2018	7:26 PM	0	1		
26	36	Weather Prediction Center (NWSWPC) is now forecasting 15-20" of rain to fall 	https://twitter.com/gdimeweather/status/1038918921703841793	Twitter	9/9/2018	6:35 PM	0	1		
27	36	Graphic of Hurricane Florence path	https://twitter.com/islandpacket/status/1038910317386858496	Twitter	9/9/2018	6:01 PM	0	1		
28	28	he Eye of Hurricane Florence, Thu 13 Sep. at 2 p.m. AST.  Wind gusts up to 142 mph, as forecasted by ECMWF (Euro) mode	https://twitter.com/Windycom/status/1038904675393851392	Twitter	9/9/2018	5:39 PM	0	1		
29	36	Four graphics of possible hurricane paths	https://twitter.com/Daniel_Bonds/status/1038912660765589507	Twitter	9/9/2018	6:10 PM	0	1		
30	36	Graphic of path of hurricane 	https://twitter.com/postandcourier/status/1038935080423440384	Twitter	9/9/2018	7:40 PM	0	1		
31	36	Prediction that Florence will regain MAJOR hurricane status and beyond over the next 24-48hrs with graphic of Florence intensity	https://twitter.com/JimCantore/status/1038910021260783618	Twitter	9/9/2018	6:00 PM	0	1		
